company_rating,model_rating,bought_at,months_used,issues_rating,resale_value,output
5,3,16794,16,2,7652,1
3,3,16119,15,3,5448,0
2,5,8289,18,2.5,1638,1
4,3,21022,6,2.5,10469,0
5,4,25688,7,1,17616,1
2,3,8217,6,1,5442,1
3,4,28316,29,0,6818,0
2,5,6057,18,0,1623,1
4,3,20973,4,0,8879,0
3,4,13311,19,2.5,4926,1
3,5,12175,8,0,13500,1
2,5,10736,18,3,3055,1
3,3,17865,6,3.5,7864,0
3,4,13011,16,1,5188,1
3,4,10562,0,0,13368,1
3,2,13775,21,1,3979,1
2,3,10971,14,2.5,4804,1
3,2,12378,27,2.5,3356,1
2,2,6749,19,2.5,1365,1
4,3,21846,19,0,11160,1
5,2,48722,13,0,18263,0
3,3,13044,8,3,4882,0
2,3,11294,9,3,5534,1
4,3.5,22651,17,0,12058,1
3,3,16371,18,4,3981,0
2,3,8894,15,3,2926,1
5,2,48872,12,1,19360,0
3,3,13923,5,2.5,5145,0
4,3,19854,13,1,10035,1
3,3,13943,0,0,5696,0
5,4,38286,18,2,14019,0
2,2,11593,16,2.5,4759,1
3,4,12811,3,0,6044,0
5,4,54600,11,1,23378,0
5,3.5,39636,25,2,8925,0
3,5,17150,13,2,10999,1
4,3.5,15021,18,2.5,10152,1
2,5,7022,20,1,1776,1
3,3,12818,20,1,4447,1
3,2,23334,21,4,1426,0
3,2,12343,4,1,4791,0
4,3.5,15974,1,1,7962,0
2,2,9396,17,3,3218,1
5,3.5,42306,0,1,27278,1
3,3,13190,16,3,4199,1
4,3.5,19454,2,2.5,9905,0
3,2,12896,16,3,3921,1
2,3,10885,18,0,5057,1
5,4,41143,7,1,22229,0
3,4,28843,8,0,12721,0
4,3,19064,20,3,11256,1
2,5,7440,10,5,1570,0
4,3.5,16154,3,2.5,8876,0
2,2,8059,10,3.5,3094,1
2,3,7575,9,3.5,3028,1
5,3.5,49574,19,0,15690,0
2,3,7206,1,3.5,4087,0
3,3,16197,1,3,9301,0
5,3.5,44719,14,2,18335,0
3,4,13071,20,0,5278,1
3,4,13455,29,2.5,4317,1
4,4,21897,2,3,12242,0
4,3.5,16098,11,2.5,9689,1
3,4,12755,22,0,4981,1
4,3.5,22796,11,0,11307,0
2,3,9894,1,4.5,5266,0
3,2,9398,17,2,2707,1
5,3.5,17838,0,0,19079,1
2,3,7266,19,0,2914,1
3,2,22499,13,1,5854,0
2,3,9012,8,3.5,4338,1
2,2,7539,9,5,2484,1
5,3,18717,15,0,8468,1
2,5,8255,7,4.5,2632,0
3,3,16025,2,2,9358,0
3,3,26246,24,4,2940,0
3,2,13545,23,1,3624,1
2,2,9599,11,2.5,4831,1
5,5,40167,23,1,11616,0
5,3,36647,11,1,17252,0
4,3.5,18681,13,3,11222,1
2,2,8668,13,5,2511,1
3,4,12910,28,0,4347,1
3,3,13483,4,0,5472,0
3,2,17860,15,4,2461,0
5,2,39740,17,2,13257,0
3,4,13297,27,3,4220,1
3,5,21529,13,0,12642,1
3,3,28990,7,3.5,8532,0
5,4,28600,24,1,6510,0
4,3,16191,5,1,7377,0
3,5,10931,6,1,13199,1
2,2,11590,15,4.5,4385,1
4,3,17835,7,1,8313,0
2,5,10334,12,4.5,2977,0
2,2,9368,17,4.5,2537,1
3,3,12302,21,2.5,4140,1
5,3,18341,1,2,18650,1
5,3.5,46334,27,2,9726,0
2,2,10313,10,1,6175,1
5,3.5,50350,11,2,22424,0
3,4,13853,19,3,4980,1
5,2,35120,24,1,6639,0
4,3.5,15849,8,2,9035,1
3,2,13524,27,3,3049,1
2,3,10268,8,2.5,5340,1
4,4,15658,10,2.5,10001,1
3,5,28149,2,1,15865,0
5,3,41729,20,2,12600,0
4,3.5,20303,3,2,10583,0
2,2,10958,11,4.5,4466,1
3,2,13724,9,1,4589,0
4,4,21833,20,3,14043,1
5,2,26061,16,0,8736,0
2,3,7323,7,3.5,3215,1
5,3.5,36186,2,1,23491,1
2,2,8020,8,0,5432,1
3,3,17099,26,0,4697,1
2,2,7132,20,1,2509,1
2,2,9360,5,3.5,5200,1
3,4,7884,10,0,10202,1
4,3,20484,3,2,9457,0
3,4,28988,8,1,12036,0
4,3.5,16482,12,1,9519,1
3,2,13149,24,3,3495,1
3,2,12272,3,2.5,4377,0
5,3.5,47740,16,1,17465,0
3,4,7593,28,2,3757,1
3,4,13053,2,0,6245,0
2,2,7458,16,5,1337,1
3,3,8482,27,2,1821,1
4,3.5,18988,16,0,10497,1
2,3,6015,19,2.5,1199,1
5,5,22916,3,0,19692,1
3,5,26538,22,1,10059,0
5,4,47290,1,0,28383,0
3,3,24593,29,3,2213,0
5,5,49210,11,1,23011,0
4,4,16170,15,2,10853,1
4,3,16646,17,2,9344,1
2,5,7862,8,3,3015,0
2,5,11492,7,5,4441,0
2,2,10180,1,3,6329,1
2,5,8476,19,0,2902,1
5,3,53054,24,0,12602,0
4,4,18696,7,1,10476,1
5,3.5,31936,5,2,20429,1
3,4,13071,24,3,4364,1
4,3,22931,1,2,10518,0
3,3,12311,12,2.5,4552,0
3,3,28529,0,0,12685,0
2,5,6540,15,3,1408,1
5,4,24613,18,1,9275,0
5,2,37901,5,0,20276,0
3,2,26311,14,0,6687,0
2,2,10723,13,3,4746,1
3,3,7467,19,4,2515,1
4,3.5,16939,7,2.5,9832,1
2,2,8653,17,3.5,2926,1
4,4,15830,4,2,9393,1
3,2,13390,14,2.5,3828,0
4,3,22245,13,3,12022,1
2,5,6952,3,2.5,3620,0
3,4,8210,27,2,4384,1
2,3,11820,5,3,6513,1
3,3,25691,3,4,8852,0
3,2,13433,7,2.5,4475,0
2,5,11622,7,2.5,5905,0
5,4,15608,4,1,16409,1
2,2,9549,9,2.5,4808,1
3,3,11842,19,0,6110,1
4,4,21628,4,2.5,12176,0
5,2,49843,4,1,25302,0
3,4,14725,7,2,10136,1
4,4,17214,14,0,10332,1
5,2,49343,8,2,22635,0
4,3,22545,6,1,10398,0
2,3,10827,20,2.5,3462,1
4,3,19339,10,0,8969,0
3,3,13587,17,1,4384,1
3,4,13107,24,2.5,4647,1
3,4,10504,27,1,4791,1
2,3,9986,2,0,7513,1
2,5,11291,10,4.5,4175,0
4,3,17649,18,2,10128,1
3,5,18694,27,0,8630,1
2,5,11718,8,1,6772,1
3,2,12256,28,1,3450,1
4,3,15258,12,0,7426,1
4,3.5,16145,11,0,8397,1
2,3,10993,6,1,6906,1
5,2,28016,18,2,8830,0
3,2,12678,3,3,4289,0
3,2,12084,21,3,3357,1
5,3.5,32119,0,2,24365,1
2,3,8243,14,5,1583,0
2,3,11204,3,3,6617,1
4,4,16849,12,3,11256,1
4,3.5,21563,15,2,11965,1
3,2,12917,13,2.5,3859,0
5,5,41915,5,0,24589,0
4,3,21445,10,0,10128,0
3,2,18637,7,2,6150,0
5,2,42129,5,0,22015,0
3,5,9796,10,4,9812,1
5,2,28218,13,1,11877,0
2,5,10160,12,2.5,4179,1
4,4,16998,6,0,9225,0
3,2,13999,10,1,4569,0
2,3,9407,0,1,6800,1
3,3,13113,27,0,4296,1
3,3,13039,24,2.5,3795,1
3,5,27685,10,3.5,11680,0
